Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
213_0ml,892.354,202.752,509.455,122.588,258.177,212.268,38.986,46.96,232.084,66.896,148.108,12.162,26.619,23.749,57.456,195.203,22.006,7.97,2651,38.1,0,0,7.307,0,0,0
213_25ml,742.932,153.1,379.142,96.583,179.735,167.709,27.496,32.441,143.779,44.412,91.759,8.943,19.74,19.564,37.05,116.436,14.98,6.552,2436.8,38.2,11.17,1.354,7.367,0.12,0.163,0.422
213_50ml,712.698,142.57,351.941,91.939,168.42,153.673,28.087,33.747,125.521,45.765,76.6,8.659,15.127,14.734,30.73,88.487,13.83,6.376,2332.8,38.2,36.26,3.987,7.346,0.25,0.346,0.869
215_0ml,766.474,164.484,409.89,102.661,203.03,178.095,32.009,37.96,177.07,53.11,109.412,10.123,20.546,19.484,42.69,135.878,16.71,6.904,2648.7,38.3,0,0,8.03,0,0,0
215_25ml,707.619,141.898,353.211,91.18,168.12,155.708,25.075,29.615,126.215,41.43,73.906,8.194,15.532,14.976,30.39,84.399,13.25,6.2,2369.2,38.3,15.98,2,7.237,0.15,0.21,0.53
215_50ml,708.619,139.892,339.244,86.959,159.28,147.36,25.306,29.493,110.148,40.642,68.221,7.69,13.912,14.088,27.32,75.67,12.67,6.2,2344,38.3,30.89,3.832,7.258,0.247,0.337,0.845
216_0ml,844.261,188.404,470.913,116.339,238.175,209.462,33.741,41.073,245.375,57.25,149.005,11.27,28.151,25.44,60.959,208.68,20.276,7.525,2646.9,37.86,0,0,7.196,0,0,0
216_25ml,727.164,148.31,361.009,94.475,172.69,156.27,26.356,30.721,119.047,42.416,73.208,8.41,15.613,15.219,29.03,83.848,14.4,6.904,2455.6,37.9,11.36,1.801,7.22,0.14,0.194,0.499
216_50ml,730.93,149.935,363.547,94.557,172.32,158.027,26.219,29.369,125.403,38.8,75.299,8.337,15.127,14.732,29.03,86.829,13.83,6.288,2330.1,37.9,19.05,2.134,7.056,0.16,0.22,0.553
218_0ml,719.544,147.638,367.533,95.317,175.91,163.779,26.127,31.212,134.188,43.206,86.672,8.517,16.828,16.181,33.3,105.389,14.4,6.376,2655.6,38.4,0,0,7.3,0,0,0
218_25ml,685.771,133.672,328.088,87.296,154.705,146.657,21.751,25.157,101.825,35.78,64.732,7.081,13.507,13.608,25.61,73.354,12.1,6.288,2348,38.41,12.51,1.689,7.925,0.14,0.19,0.479
218_50ml,696.156,135.871,331.627,87.465,156.505,147.01,21.569,25.689,102.52,36.464,63.733,7.115,13.669,13.689,25.61,70.924,12.67,6.2,2354.6,38.5,27.6,2.289,7.165,0.17,0.23,0.58
23_0ml,769.4,163.62,410.7,108.826,217.12,184.269,26.493,33.174,220.641,52.018,123.475,10.516,26.7,21.658,51.392,169.351,26.5,7.792,2648.4,37.4,0,0,7.721,0,0,0
23_25ml,706.31,140.18,350.13,90.083,172.32,158.168,20.061,22.049,117.66,31.488,68.122,7.08,19.096,17.713,32.44,89.371,14.4,6.2,2439.3,37.5,13.24,1.633,7.732,0.134,0.181,0.469
23_50ml,704.154,138.74,343.959,88.14,158.08,152.411,20.653,24.584,153.837,36.54,92.059,7.116,18.447,17.63,40.81,133.781,12.67,6.2,2376.8,37.6,26.73,2.185,7.287,0.16,0.22,0.564
27_0ml,740.084,153.1,386.31,102.326,189.55,179.429,31.506,37.96,162.158,53.11,100.533,10.019,19.5,18.6,38.76,132.566,15.55,7.08,2627,33.6,0,0,7.96,0,0,0
27_25ml,696.541,135.87,341.42,93.289,166.32,158.936,23.94,29.82,126.677,44.561,65.325,8.085,15.694,14.895,28.17,78.213,13.656,6.288,2396.8,33.84,17.29,2,7.567,0.15,0.21,0.53
27_50ml,685.925,133.96,334.984,88.985,156.73,155.921,22.159,25.606,113.498,35.706,69.217,7.33,14.641,15.3,28.17,79.539,11.52,6.2,2343.1,34.1,26.62,2.121,7.227,0.16,0.218,0.552
29_0ml,781.71,164.58,400.82,106.886,205.13,174.022,31.371,37.755,185.738,53.564,109.512,10.55,20.303,18.68,44.39,144.384,18.43,7.169,2647.4,38.5,0,0,7.896,0,0,0
29_25ml,713.547,141.61,344.14,94.472,167.895,154.096,24.168,28.024,129.102,39.17,85.874,8.122,15.532,15.461,34.235,117.54,13.83,6.288,2346.6,38.5,18.89,2,7.228,0.15,0.21,0.53
29_50ml,691.151,141.612,353.48,87.549,158.155,146.448,22.114,26.057,104.946,36.312,68.222,7.116,13.426,13.528,27.32,82.189,12.1,6.2,2307.7,38.58,32.15,2.518,7.301,0.18,0.242,0.62
45_0ml,766.321,164.674,415.868,101.563,200.64,188.83,30.868,37.186,170.361,51.192,121.881,9.121,24.837,24.715,46.272,157.42,15.55,6.992,2528,37.9,0,0,7.619,0,0,0
45_25ml,728.389,148.31,368.352,97.512,179.51,161.673,23.343,28.795,117.432,43.091,73.206,7.834,16.342,15.54,28.17,87.713,14.98,6.816,2310.9,37.8,10.17,1.769,7.306,0.141,0.193,0.491
45_50ml,710.93,145.056,360.101,88.055,164.895,154.94,24.213,26.918,110.032,35.78,72.71,7.474,14.479,14.41,28.17,83.403,12.1,6.111,2365.2,37.85,25.85,3.206,7.746,0.21,0.29,0.737
49_0ml,720.93,147.35,366.269,93.037,176.81,158.097,27.952,32.928,137.657,47.346,90.863,8.622,16.666,15.699,34.915,112.237,14.632,6.464,2644.6,36.3,0,0,7.311,0,0,0
49_25ml,681.074,133,329.999,85.861,153.44,146.094,22.161,25.566,100.092,36.16,63.834,7.08,13.345,13.367,25.61,75.782,12.1,6.111,2453.2,36.3,16.29,2,7.588,0.15,0.21,0.53
49_50ml,709.851,138.456,336.344,91.265,159.355,151.007,22.8,26.058,106.103,35.03,61.934,7.475,13.75,13.526,25.44,73.463,12.1,6.2,2327.8,36.36,25.76,2.029,7.174,0.15,0.21,0.538
4_0ml,747.629,157.208,396.28,99.286,189.625,176.551,28.406,33.787,152.568,48.21,109.212,9.013,19.015,18.439,39.7,145.05,14.98,6.992,2644,35.5,0,0,7.088,0,0,0
4_25ml,681.613,132.424,329.999,87.972,155.83,154.234,21.75,25.567,107.602,36.577,65.526,7.188,14.236,14.734,27.32,79.095,11.984,6.199,2351.4,35.67,0,1,7.582,0.1,0.14,0.36
4_50ml,681.151,131.375,328.361,87.044,154.78,152.202,22.115,25.975,103.675,36.539,65.724,7.08,13.831,14.492,26.47,75.893,11.52,6.2,2326.3,35.89,21.22,2,7.008,0.15,0.21,0.53
52_0ml,703.461,143.53,359.646,92.951,170.895,157.603,28.818,36.697,125.29,55.861,77.695,8.73,15.289,14.814,30.73,95.005,14.98,6.64,2646.7,38.3,0,0,7.864,0,0,0
52_25ml,681.382,131.66,321.92,87.213,152.015,141.747,21.888,26.139,89.805,37.29,57.846,6.799,12.212,12.8,23.05,62.745,12.1,6.2,2496.2,38.39,18.83,2,7.055,0.15,0.21,0.53
52_50ml,671.151,130.61,322.194,84.68,146.84,142.727,21.475,24.503,96.281,33.15,57.347,7.046,12.374,12.881,23.475,60.867,11.52,6.111,2366.6,38.4,32.32,2.543,7.168,0.18,0.248,0.625
